Sno,link,Author,Title,Posted,Filename,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31
11,http://www.ted.com/talks/tim_harford_how_messy_problems_can_inspire_creativity/transcript,Tim Harford, How frustration can make us more creative , Jan 2016 ,tim_harford_how_messy_problems_can_inspire_creativity.txt,,Cognitive,science,Collaboration,Composing,Creativity,Innovation,Music,Potential,Psychology,Success,Work,,,,,,,,,,,,,,,,,,,
12,http://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email/transcript,James Veitch, This is what happens when you reply to spam email , Jan 2016 ,james_veitch_this_is_what_happens_when_you_reply_to_spam_email.txt,,Comedy,Communication,Curiosity,Humor,Technology,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://www.ted.com/talks/harry_cliff_have_we_reached_the_end_of_physics/transcript,Harry Cliff, Have we reached the end of physics? , Jan 2016 ,harry_cliff_have_we_reached_the_end_of_physics.txt,,Big,bang,Complexity,Dark,matter,Exploration,Future,Innovation,Nature,Physics,Science,Space,Technology,Universe,,,,,,,,,,,,,,,,
14,http://www.ted.com/talks/rodrigo_bijou_governments_don_t_understand_cyber_warfare_we_need_hackers/transcript,Rodrigo Bijou, Governments don't understand cyber warfare. We need hackers , Dec 2015 ,rodrigo_bijou_governments_don_t_understand_cyber_warfare_we_need_hackers.txt,,Internet,Surveillance,Activism,Communication,Computers,Data,Future,Government,Leadership,Military,Policy,Security,Technology,Terrorism,Violence,War,Web,,,,,,,,,,,,,
15,http://www.ted.com/talks/antonio_guterres_refugees_have_the_right_to_be_protected/transcript,António Guterres, Refugees have the right to be protected , Dec 2015 ,antonio_guterres_refugees_have_the_right_to_be_protected.txt,,Europe,Future,Global,issues,Government,Humanity,Immigration,Interview,Policy,Politics,Social,change,Society,Terrorism,,,,,,,,,,,,,,,,
16,http://www.ted.com/talks/ann_morgan_my_year_reading_a_book_from_every_country_in_the_world/transcript,Ann Morgan, My year reading a book from every country in the world , Nov 2015 ,ann_morgan_my_year_reading_a_book_from_every_country_in_the_world.txt,,Books,Goal-setting,Library,Literature,Personal,growth,Writing,,,,,,,,,,,,,,,,,,,,,,,
17,http://www.ted.com/talks/harald_haas_a_breakthrough_new_kind_of_wireless_internet/transcript,Harald Haas, Forget Wi-Fi. Meet the new Li-Fi Internet , Nov 2015 ,harald_haas_a_breakthrough_new_kind_of_wireless_internet.txt,,Internet,Communication,Demo,Design,Infrastructure,Innovation,Invention,Solar,Web,,,,,,,,,,,,,,,,,,,,,
18,http://www.ted.com/talks/daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed/transcript,Daniel Levitin, How to stay calm when you know you'll be stressed , Oct 2015 ,daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed.txt,,Brain,Cognitive,science,Health,Medicine,Memory,Mental,health,Neuroscience,,,,,,,,,,,,,,,,,,,,,
19,http://www.ted.com/talks/mathias_jud_art_that_lets_you_talk_back_to_nsa_spies/transcript,Mathias Jud, Art that lets you talk back to NSA spies , Oct 2015 ,mathias_jud_art_that_lets_you_talk_back_to_nsa_spies.txt,,Europe,Internet,Surveillance,Art,Communication,Democracy,Government,Intelligence,Politics,Security,Technology,Telecom,,,,,,,,,,,,,,,,,,
20,http://www.ted.com/talks/hilary_cottam_social_services_are_broken_how_we_can_fix_them/transcript,Hilary Cottam, Social services are broken. How we can fix them , Oct 2015 ,hilary_cottam_social_services_are_broken_how_we_can_fix_them.txt,,Big,problems,Community,Relationships,Social,change,,,,,,,,,,,,,,,,,,,,,,,,
21,http://www.ted.com/talks/francesco_sauro_deep_under_the_earth_s_surface_discovering_beauty_and_science/transcript,Francesco Sauro," Deep under the Earth's surface, discovering beauty and science ", Oct 2015 ,francesco_sauro_deep_under_the_earth_s_surface_discovering_beauty_and_science.txt,,South,America,Adventure,Beauty,Biodiversity,Ecology,Environment,Exploration,Geology,Glacier,Photography,Science,Science,and,art,,,,,,,,,,,,,,,
22,http://www.ted.com/talks/jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely/transcript,Jennifer Doudna,  How CRISPR lets us edit our DNA , Oct 2015 ,jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely.txt,,Bioethics,DNA,Biotech,Engineering,Future,Genetics,Health,Innovation,Medical,research,Medicine,Molecular,biology,Philosophy,Science,Software,Synthetic,biology,Technology,Virus,,,,,,,,,,
23,http://www.ted.com/talks/anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories/transcript,Anders Fjellberg, Two nameless bodies washed up on the beach. Here are their stories , Oct 2015 ,anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories.txt,,Europe,Middle,East,Death,Global,issues,Identity,Journalism,War,,,,,,,,,,,,,,,,,,,,,
24,http://www.ted.com/talks/michael_green_how_we_can_make_the_world_a_better_place_by_2030/transcript,Michael Green, How we can make the world a better place by 2030 , Oct 2015 ,michael_green_how_we_can_make_the_world_a_better_place_by_2030.txt,,Big,problems,Economics,Future,Global,development,Global,issues,Goal-setting,Policy,Statistics,,,,,,,,,,,,,,,,,,,
25,http://www.ted.com/talks/alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt/transcript,Alice Bows-Larkin, Climate change is happening. Here's how we adapt , Oct 2015 ,alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt.txt,,Big,problems,Climate,change,Economics,Energy,Future,Global,issues,Green,Infrastructure,Policy,Pollution,Science,Social,change,Sustainability,,,,,,,,,,,,,
26,http://www.ted.com/talks/taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local/transcript,Taiye Selasi," Don't ask where I'm from, ask where I'm a local ", Sep 2015 ,taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local.txt,,Culture,Humanity,Identity,Self,World,cultures,,,,,,,,,,,,,,,,,,,,,,,,
27,http://www.ted.com/talks/frances_larson_why_public_beheadings_get_millions_of_views/transcript,Frances Larson, Why public beheadings get millions of views , Sep 2015 ,frances_larson_why_public_beheadings_get_millions_of_views.txt,,Death,Global,issues,History,Online,video,,,,,,,,,,,,,,,,,,,,,,,,
28,http://www.ted.com/talks/jamie_bartlett_how_the_mysterious_dark_net_is_going_mainstream/transcript,Jamie Bartlett, How the mysterious dark net is going mainstream , Sep 2015 ,jamie_bartlett_how_the_mysterious_dark_net_is_going_mainstream.txt,,Internet,Business,Crime,Economics,Privacy,Shopping,Social,media,,,,,,,,,,,,,,,,,,,,,,
29,http://www.ted.com/talks/wendy_freedman_this_new_telescope_might_show_us_the_beginning_of_the_universe/transcript,Wendy Freedman, This new telescope might show us the beginning of the universe , Aug 2015 ,wendy_freedman_this_new_telescope_might_show_us_the_beginning_of_the_universe.txt,,Planets,Astronomy,Big,bang,Cosmos,Dark,matter,Engineering,Exploration,Extraterrestrial,life,Future,Physics,Science,Solar,system,Space,Technology,Universe,,,,,,,,,,,
30,http://www.ted.com/talks/jim_al_khalili_how_quantum_biology_might_explain_life_s_biggest_questions/transcript,Jim Al-Khalili, How quantum biology might explain life’s biggest questions , Aug 2015 ,jim_al_khalili_how_quantum_biology_might_explain_life_s_biggest_questions.txt,,Biology,Birds,Consciousness,Life,Physics,,,,,,,,,,,,,,,,,,,,,,,,,
31,http://www.ted.com/talks/tony_wyss_coray_how_young_blood_might_help_reverse_aging_yes_really/transcript,Tony Wyss-Coray," How young blood might help reverse aging. Yes, really ", Aug 2015 ,tony_wyss_coray_how_young_blood_might_help_reverse_aging_yes_really.txt,,Aging,Biology,Brain,Disease,Innovation,Medical,research,Medicine,Memory,Molecular,biology,Neuroscience,Science,Youth,,,,,,,,,,,,,,,,
32,http://www.ted.com/talks/yuval_noah_harari_what_explains_the_rise_of_humans/transcript,Yuval Noah Harari, What explains the rise of humans? , Jul 2015 ,yuval_noah_harari_what_explains_the_rise_of_humans.txt,,Evolution,History,Human,origins,Humanity,Storytelling,,,,,,,,,,,,,,,,,,,,,,,,
33,http://www.ted.com/talks/jon_ronson_what_happens_when_online_shaming_spirals_out_of_control/transcript,Jon Ronson, When online shaming spirals out of control , Jul 2015 ,jon_ronson_what_happens_when_online_shaming_spirals_out_of_control.txt,,Culture,Humanity,Social,media,Society,Technology,,,,,,,,,,,,,,,,,,,,,,,,
34,http://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong/transcript,Johann Hari, Everything you think you know about addiction is wrong , Jul 2015 ,johann_hari_everything_you_think_you_know_about_addiction_is_wrong.txt,,Culture,Narcotics,Policy,Society,,,,,,,,,,,,,,,,,,,,,,,,,,
35,http://www.ted.com/talks/jimmy_nelson_gorgeous_portraits_of_the_world_s_vanishing_people/transcript,Jimmy Nelson, Gorgeous portraits of the world's vanishing people , May 2015 ,jimmy_nelson_gorgeous_portraits_of_the_world_s_vanishing_people.txt,,Culture,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,http://www.ted.com/talks/bel_pesce_5_ways_to_kill_your_dreams/transcript,Bel Pesce, 5 ways to kill your dreams , Apr 2015 ,bel_pesce_5_ways_to_kill_your_dreams.txt,,TED,Fellows,Entrepreneur,Innovation,Life,,,,,,,,,,,,,,,,,,,,,,,,,
37,http://www.ted.com/talks/boniface_mwangi_boniface_mwangi_the_day_i_stood_up_alone/transcript,Boniface Mwangi, The day I stood up alone , Apr 2015 ,boniface_mwangi_boniface_mwangi_the_day_i_stood_up_alone.txt,,TED,Fellows,Activism,Art,Corruption,Photography,,,,,,,,,,,,,,,,,,,,,,,,
38,http://www.ted.com/talks/alison_killing_there_s_a_better_way_to_die_and_architecture_can_help/transcript,Alison Killing," There’s a better way to die, and architecture can help ", Mar 2015 ,alison_killing_there_s_a_better_way_to_die_and_architecture_can_help.txt,,TED,Fellows,Architecture,Cities,Death,Design,,,,,,,,,,,,,,,,,,,,,,,,
39,http://www.ted.com/talks/sangu_delle_in_praise_of_macro_yes_macro_finance_in_africa/transcript,Sangu Delle," In praise of macro — yes, macro — finance in Africa ", Mar 2015 ,sangu_delle_in_praise_of_macro_yes_macro_finance_in_africa.txt,,Africa,TED,Fellows,Economics,Entrepreneur,Investment,,,,,,,,,,,,,,,,,,,,,,,,
40,http://www.ted.com/talks/ilona_szabo_de_carvalho_4_lessons_i_learned_from_taking_a_stand_against_drugs_and_gun_violence/transcript,Ilona Szabó de Carvalho, 4 lessons I learned from taking a stand against drugs and gun violence , Mar 2015 ,ilona_szabo_de_carvalho_4_lessons_i_learned_from_taking_a_stand_against_drugs_and_gun_violence.txt,,Brazil,Global,issues,Narcotics,Policy,Violence,,,,,,,,,,,,,,,,,,,,,,,,
41,http://www.ted.com/talks/andy_yen_think_your_email_s_private_think_again/transcript,Andy Yen, Think your email's private? Think again , Mar 2015 ,andy_yen_think_your_email_s_private_think_again.txt,,Internet,Surveillance,Communication,Privacy,Security,Technology,Web,,,,,,,,,,,,,,,,,,,,,,,
42,http://www.ted.com/talks/jon_gosier_the_problem_with_trickle_down_techonomics/transcript,Jon Gosier," The problem with ""trickle-down techonomics"" ", Mar 2015 ,jon_gosier_the_problem_with_trickle_down_techonomics.txt,,TED,Fellows,Inequality,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,
43,http://www.ted.com/talks/khalida_brohi_how_i_work_to_protect_women_from_honor_killings/transcript,Khalida Brohi, How I work to protect women from honor killings , Feb 2015 ,khalida_brohi_how_i_work_to_protect_women_from_honor_killings.txt,,Middle,East,Activism,Education,Feminism,Violence,Women,,,,,,,,,,,,,,,,,,,,,,,
44,http://www.ted.com/talks/angelo_vermeulen_how_to_go_to_space_without_having_to_go_to_space/transcript,Angelo Vermeulen," How to go to space, without having to go to space ", Feb 2015 ,angelo_vermeulen_how_to_go_to_space_without_having_to_go_to_space.txt,,NASA,TED,Fellows,Architecture,Collaboration,Crowdsourcing,Design,Engineering,Food,Future,Innovation,Psychology,Science,Science,and,art,Space,Sustainability,Technology,,,,,,,,,,,
45,http://www.ted.com/talks/laura_boushnak_for_these_women_reading_is_a_daring_act/transcript,Laura Boushnak," For these women, reading is a daring act ", Feb 2015 ,laura_boushnak_for_these_women_reading_is_a_daring_act.txt,,Islam,Middle,East,TED,Fellows,Education,Feminism,Photography,Women,,,,,,,,,,,,,,,,,,,,,
46,http://www.ted.com/talks/ricardo_semler_radical_wisdom_for_a_company_a_school_a_life/transcript,Ricardo Semler, How to run a company with (almost) no rules  , Feb 2015 ,ricardo_semler_radical_wisdom_for_a_company_a_school_a_life.txt,,Business,Creativity,Education,Philosophy,Work,,,,,,,,,,,,,,,,,,,,,,,,,
47,http://www.ted.com/talks/tom_wujec_got_a_wicked_problem_first_tell_me_how_you_make_toast/transcript,Tom Wujec," Got a wicked problem? First, tell me how you make toast ", Feb 2015 ,tom_wujec_got_a_wicked_problem_first_tell_me_how_you_make_toast.txt,,Business,Collaboration,Creativity,Design,Leadership,,,,,,,,,,,,,,,,,,,,,,,,,
48,http://www.ted.com/talks/zeynep_tufekci_how_the_internet_has_made_social_change_easy_to_organize_hard_to_win/transcript,Zeynep Tufekci," Online social change: easy to organize, hard to win ", Feb 2015 ,zeynep_tufekci_how_the_internet_has_made_social_change_easy_to_organize_hard_to_win.txt,,Activism,Protests,Social,change,Social,media,Society,Sociology,Technology,,,,,,,,,,,,,,,,,,,,,
49,http://www.ted.com/talks/bassam_tariq_the_beauty_and_diversity_of_muslim_life/transcript,Bassam Tariq, The beauty and diversity of Muslim life , Jan 2015 ,bassam_tariq_the_beauty_and_diversity_of_muslim_life.txt,,TED,Fellows,Creativity,Film,Writing,,,,,,,,,,,,,,,,,,,,,,,,,
50,http://www.ted.com/talks/severine_autesserre_to_solve_mass_violence_look_to_locals/transcript,Severine Autesserre," To solve mass violence, look to locals ", Jan 2015 ,severine_autesserre_to_solve_mass_violence_look_to_locals.txt,,Government,Peace,War,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,http://www.ted.com/talks/miguel_nicolelis_brain_to_brain_communication_has_arrived_how_we_did_it/transcript,Miguel Nicolelis, Brain-to-brain communication has arrived. How we did it , Jan 2015 ,miguel_nicolelis_brain_to_brain_communication_has_arrived_how_we_did_it.txt,,Brain,Communication,Neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,http://www.ted.com/talks/joe_madiath_better_toilets_better_life/transcript,Joe Madiath," Better toilets, better life ", Jan 2015 ,joe_madiath_better_toilets_better_life.txt,,Global,development,Sanitation,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
53,http://www.ted.com/talks/matthieu_ricard_how_to_let_altruism_be_your_guide/transcript,Matthieu Ricard, How to let altruism be your guide , Jan 2015 ,matthieu_ricard_how_to_let_altruism_be_your_guide.txt,,Communication,Compassion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,http://www.ted.com/talks/robert_muggah_how_to_protect_fast_growing_cities_from_failing/transcript,Robert Muggah, How to protect fast-growing cities from failing , Jan 2015 ,robert_muggah_how_to_protect_fast_growing_cities_from_failing.txt,,Cities,Global,issues,Infrastructure,Violence,War,Youth,,,,,,,,,,,,,,,,,,,,,,,
55,http://www.ted.com/talks/robert_swan_let_s_save_the_last_pristine_continent/transcript,Robert Swan, Let's save the last pristine continent , Jan 2015 ,robert_swan_let_s_save_the_last_pristine_continent.txt,,Climate,change,Environment,Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,
56,http://www.ted.com/talks/navi_radjou_creative_problem_solving_in_the_face_of_extreme_limits/transcript,Navi Radjou, Creative problem-solving in the face of extreme limits , Jan 2015 ,navi_radjou_creative_problem_solving_in_the_face_of_extreme_limits.txt,,Business,Entrepreneur,Innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,http://www.ted.com/talks/tasso_azevedo_hopeful_lessons_from_the_battle_to_save_rainforests/transcript,Tasso Azevedo, Hopeful lessons from the battle to save rainforests , Jan 2015 ,tasso_azevedo_hopeful_lessons_from_the_battle_to_save_rainforests.txt,,Climate,change,Conservation,Ecology,Environment,Green,Plants,Politics,Science,Social,change,Sustainability,Trees,,,,,,,,,,,,,,,,,
58,http://www.ted.com/talks/asha_de_vos_why_you_should_care_about_whale_poo/transcript,Asha de Vos, Why you should care about whale poo , Jan 2015 ,asha_de_vos_why_you_should_care_about_whale_poo.txt,,TED,Fellows,Biology,Nature,Oceans,,,,,,,,,,,,,,,,,,,,,,,,,
59,http://www.ted.com/talks/mundano_pimp_my_trash_cart/transcript,Mundano, Pimp my ... trash cart? , Dec 2014 ,mundano_pimp_my_trash_cart.txt,,Brazil,TED,Fellows,Art,Social,change,Street,art,,,,,,,,,,,,,,,,,,,,,,
60,http://www.ted.com/talks/bruno_torturra_got_a_smartphone_start_broadcasting/transcript,Bruno Torturra, Got a smartphone? Start broadcasting , Dec 2014 ,bruno_torturra_got_a_smartphone_start_broadcasting.txt,,Activism,Journalism,Media,Online,video,Politics,Social,media,Web,,,,,,,,,,,,,,,,,,,,,
61,http://www.ted.com/talks/dave_troy_social_maps_that_reveal_a_city_s_intersections_and_separations/transcript,Dave Troy, Social maps that reveal a city's intersections — and separations , Dec 2014 ,dave_troy_social_maps_that_reveal_a_city_s_intersections_and_separations.txt,,Cities,Culture,Social,media,Visualizations,,,,,,,,,,,,,,,,,,,,,,,,,
62,http://www.ted.com/talks/catherine_crump_the_small_and_surprisingly_dangerous_detail_the_police_track_about_you/transcript,Catherine Crump, The small and surprisingly dangerous detail the police track about you , Dec 2014 ,catherine_crump_the_small_and_surprisingly_dangerous_detail_the_police_track_about_you.txt,,Surveillance,TED,Fellows,Data,Privacy,,,,,,,,,,,,,,,,,,,,,,,,,
63,http://www.ted.com/talks/anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution/transcript,Anastasia Taylor-Lind, Fighters and mourners of the Ukrainian revolution , Dec 2014 ,anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution.txt,,TED,Fellows,Photography,War,,,,,,,,,,,,,,,,,,,,,,,,,,
64,http://www.ted.com/talks/jose_miguel_sokoloff_how_christmas_lights_helped_guerrillas_put_down_their_guns/transcript,Jose Miguel Sokoloff, How Christmas lights helped guerrillas put down their guns , Dec 2014 ,jose_miguel_sokoloff_how_christmas_lights_helped_guerrillas_put_down_their_guns.txt,,Advertising,Creativity,War,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,http://www.ted.com/talks/aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light/transcript,Aakash Odedra," A dance in a hurricane of paper, wind and light ", Dec 2014 ,aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light.txt,,Dance,Music,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,http://www.ted.com/talks/oren_yakobovich_hidden_cameras_that_film_injustice_in_the_world_s_most_dangerous_places/transcript,Oren Yakobovich, Hidden cameras that film injustice in the world’s most dangerous places , Dec 2014 ,oren_yakobovich_hidden_cameras_that_film_injustice_in_the_world_s_most_dangerous_places.txt,,Activism,Film,Global,issues,Online,video,Social,change,,,,,,,,,,,,,,,,,,,,,,
67,http://www.ted.com/talks/mark_plotkin_what_the_people_of_the_amazon_know_that_you_don_t/transcript,Mark Plotkin, What the people of the Amazon know that you don’t , Nov 2014 ,mark_plotkin_what_the_people_of_the_amazon_know_that_you_don_t.txt,,Medicine,World,cultures,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,http://www.ted.com/talks/joe_landolina_this_gel_can_make_you_stop_bleeding_instantly/transcript,Joe Landolina, This gel can make you stop bleeding instantly , Nov 2014 ,joe_landolina_this_gel_can_make_you_stop_bleeding_instantly.txt,,TED,Fellows,Biology,Biotech,Health,care,Innovation,Invention,Medicine,Molecular,biology,Science,Technology,War,,,,,,,,,,,,,,,,
69,http://www.ted.com/talks/vincent_moon_and_nana_vasconcelos_the_world_s_hidden_music_rituals/transcript,Vincent Moon and Naná Vasconcelos, Hidden music rituals around the world , Nov 2014 ,vincent_moon_and_nana_vasconcelos_the_world_s_hidden_music_rituals.txt,,Creativity,Film,Jazz,Live,music,Music,Travel,,,,,,,,,,,,,,,,,,,,,,,
70,http://www.ted.com/talks/ethan_nadelmann_why_we_need_to_end_the_war_on_drugs/transcript,Ethan Nadelmann, Why we need to end the War on Drugs , Nov 2014 ,ethan_nadelmann_why_we_need_to_end_the_war_on_drugs.txt,,Crime,Global,issues,Narcotics,Policy,,,,,,,,,,,,,,,,,,,,,,,,,
71,http://www.ted.com/talks/michael_green_what_the_social_progress_index_can_reveal_about_your_country/transcript,Michael Green, What the Social Progress Index can reveal about your country , Nov 2014 ,michael_green_what_the_social_progress_index_can_reveal_about_your_country.txt,,Economics,Global,issues,Policy,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
72,http://www.ted.com/talks/haas_hahn_how_painting_can_transform_communities/transcript,Haas&Hahn, How painting can transform communities , Nov 2014 ,haas_hahn_how_painting_can_transform_communities.txt,,Art,Cities,Community,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,http://www.ted.com/talks/alejandro_aravena_my_architectural_philosophy_bring_the_community_into_the_process/transcript,Alejandro Aravena, My architectural philosophy? Bring the community into the process , Nov 2014 ,alejandro_aravena_my_architectural_philosophy_bring_the_community_into_the_process.txt,,Architecture,Cities,Design,Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,
74,http://www.ted.com/talks/ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets/transcript,Ameenah Gurib-Fakim, Humble plants that hide surprising secrets , Nov 2014 ,ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets.txt,,Biodiversity,Biology,Nature,Plants,Science,,,,,,,,,,,,,,,,,,,,,,,,,
75,http://www.ted.com/talks/alessandra_orofino_it_s_our_city_let_s_fix_it/transcript,Alessandra Orofino, It’s our city. Let’s fix it , Nov 2014 ,alessandra_orofino_it_s_our_city_let_s_fix_it.txt,,Cities,Community,Politics,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,
76,http://www.ted.com/talks/kimberley_motley_how_i_defend_the_rule_of_law/transcript,Kimberley Motley, How I defend the rule of law , Oct 2014 ,kimberley_motley_how_i_defend_the_rule_of_law.txt,,Crime,Global,issues,Law,Women,,,,,,,,,,,,,,,,,,,,,,,,,
77,http://www.ted.com/talks/fabien_cousteau_what_i_learned_from_spending_31_days_underwater/transcript,Fabien Cousteau, What I learned from spending 31 days underwater , Oct 2014 ,fabien_cousteau_what_i_learned_from_spending_31_days_underwater.txt,,Adventure,Biodiversity,Exploration,Oceans,Submarine,,,,,,,,,,,,,,,,,,,,,,,,,
